epoch,train_loss,valid_loss,train_ppl,valid_ppl,time
1,6.7761,6.8275,876.6555,922.8366,281.93
2,6.3602,6.5539,578.3532,701.9981,281.36
3,6.0208,6.4034,411.8911,603.9167,280.33
4,5.7745,6.2684,321.9883,527.6437,280.57
5,5.5891,6.2156,267.4981,500.4842,281.52
6,5.4418,6.1558,230.8655,471.4251,281.44
7,5.3204,6.1505,204.4650,468.9631,280.18
8,5.2170,6.1258,184.3836,457.5099,281.91
9,5.1271,6.1238,168.5237,456.5841,281.32
10,5.0492,6.1232,155.9047,456.3130,280.42
11,4.9786,6.1481,145.2761,467.8251,279.56
12,4.9150,6.1265,136.3179,457.8481,278.13
13,4.8575,6.1181,128.7006,453.9822,280.75
14,4.8062,6.1310,122.2653,459.8963,283.41
15,4.7572,6.1679,116.4245,477.1911,282.70
