epoch,train_loss,valid_loss,train_ppl,valid_ppl,time
1,6.5490,6.8954,698.5372,987.7071,274.25
2,5.8113,6.6636,334.0628,783.3304,273.44
3,5.3843,6.5664,217.9544,710.8403,273.82
4,5.0729,6.4333,159.6418,622.2111,270.69
5,4.8513,6.4106,127.9048,608.2629,272.23
6,4.6763,6.4220,107.3672,615.2047,270.35
7,4.5312,6.3699,92.8672,584.0091,274.34
8,4.4228,6.3376,83.3333,565.4643,272.08
9,4.3252,6.3508,75.5775,572.9728,272.22
10,4.2357,6.3902,69.1070,595.9582,272.96
11,4.1633,6.3586,64.2823,577.4555,272.82
12,4.0969,6.4166,60.1563,611.9426,274.02
13,4.0336,6.4736,56.4638,647.7848,273.50
